[?1034husig.fChiSqRatio, usig.fChiSquare, usig.fChiSquareInd, usig.fChiSquareIndRestr, usig.fChiSquareIndRestr, usig.fRisetime, usig.fUnshapedInteg, trueChEnergy
-0.0705725405774 1.60560906073 3.02981789544 3.17496879011 3.17496879011 5370.58823529 33.9570565851 0.0
-2.78350168773 0.907532843582 321.832852779 602.749262927 602.749262927 6742.0629085 54.3321981841 1409.70089892
-2.78350168773 0.907532843582 321.832852779 602.749262927 602.749262927 6742.0629085 57.0267649348 1409.70089892
-2.94171943362 1.22919736204 -1.0 -1.0 -1.0 6905.14705882 38.0864819874 0.0
-1.77261802955 1.36002433017 60.440488734 120.257334373 120.257334373 7211.45833333 62.052955003 554.557354471
-2.1469238272 0.455998162343 38.7382862797 77.7582795782 77.7582795782 5208.71459695 51.3135083843 692.773999965
-1.71398378124 0.851832059005 16.2306868016 28.1835856943 28.1835856943 9939.58333333 51.6019160833 29.7813
-2.98085834529 1.34844568536 -1.0 -1.0 -1.0 6023.52941176 48.2565397131 225.675173176
-1.05045713633 1.00099972989 5.10139767229 6.99174727395 6.99174727395 6191.17647059 30.8655324501 149.725161402
-2.01394176217 0.537593127832 35.3854871621 59.2721002733 59.2721002733 5082.04022988 57.3774663894 388.561345976
-3.19077879604 1.22439168655 -1.0 -1.0 -1.0 6119.86111111 57.4762601749 763.129999997
-2.96005982815 1.22442713716 -1.0 -1.0 -1.0 6225.49019608 55.8558374154 1497.5199797
-3.13866368698 1.44991820394 -1.0 -1.0 -1.0 13555.9465165 50.0009043428 1116.85369032
-3.13866368698 1.44991820394 -1.0 -1.0 -1.0 13555.9465165 65.0767004256 1116.85369032
-3.13866368698 1.44991820394 -1.0 -1.0 -1.0 13555.9465165 66.7182323329 1116.85369032
-3.09613037942 1.81757780222 -1.0 -1.0 -1.0 6169.3019943 55.2363741192 1694.83900736
-3.09613037942 1.81757780222 -1.0 -1.0 -1.0 6169.3019943 56.4923857927 1694.83900736
-3.07304369485 1.07705950862 -1.0 -1.0 -1.0 7278.43137255 51.1844579487 914.870072632
-3.07304369485 1.07705950862 -1.0 -1.0 -1.0 7278.43137255 54.1686093267 914.870072632
-2.43652819974 0.943589015242 96.1247635267 178.733048602 178.733048602 10955.0165837 57.2659329904 361.110615191
-2.43652819974 0.943589015242 96.1247635267 178.733048602 178.733048602 10955.0165837 67.3698792937 361.110615191
-3.06719315419 1.07600053702 541.374886879 1010.34717073 1010.34717073 6513.28173375 55.9243655722 2050.99556048
-3.06719315419 1.07600053702 541.374886879 1010.34717073 1010.34717073 6513.28173375 58.549484393 2050.99556048
-1.84740180444 1.68214749531 44.6534706079 74.2787287998 74.2787287998 5375.97978548 57.043412171 188.999343544
-2.84965783724 0.845661266138 -1.0 -1.0 -1.0 8271.73202614 56.7372768001 598.100082069
-2.84965783724 0.845661266138 -1.0 -1.0 -1.0 8271.73202614 61.1483911362 598.100082069
-3.07043891412 1.03630477826 -1.0 -1.0 -1.0 6587.68472906 50.0880100899 338.152656689
-3.13964970795 1.43872704208 -1.0 -1.0 -1.0 6468.75 48.6633931594 36.4674419593
-2.25073325097 1.12232731248 79.4424923441 156.403161205 156.403161205 6797.79411765 59.3587581497 596.17603805
-2.49484712023 1.2190421828 129.356296811 257.178281029 257.178281029 6205.07352941 57.4620753879 677.906297255
